id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,
546554,en,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",54.18,43796,Knives Out,7.8,6900,
290859,en,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",260.14,43761,Terminator: Dark Fate,6.6,3340,
496243,ko,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",155.975,43615,Parasite,8.5,10921,
458723,en,Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",28.04,43538,Us,7,4882,
479455,en,Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",113.752,43628,Men in Black: International,6,3189,
320288,en,Dark Phoenix,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",181.414,43621,Dark Phoenix,6.1,4377,
450465,en,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",112.74,43481,Glass,6.7,6048,
521029,en,Annabelle Comes Home,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her â€œsafelyâ€ behind sacred glass and enlisting a priestâ€™s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new targetâ€”the Warrens' ten-year-old daughter, Judy, and her friends.",63.146,43642,Annabelle Comes Home,6.4,2230,
575813,zh,Better Days,"Nian is trying to get into shape for the state gaokao exam. Her chances of getting a spot at university depend on her score and the constant bullying of her classmates is not helping much.  Bei's world is the street, with all its dark corners. A night-time encounter brings the shy schoolgirl together with the street-savvy trickster, Bei. When Nian's school nemesis turns up dead, the new allies come under suspicion.",82.209,43763,Better Days,8.2,72,
359724,en,Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",152.338,43782,Ford v Ferrari,8,4437,
